"","country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"492","za",4,4,2,5,3,4,2,3,3,5,5,325,2,5,2,2,31,3,2,5,7,20,2,18,1
"493","ita",4,3,3,5,3,2,1,4,4,4,5,4,2,2,4,15,28,4,1,6,1,38,2,16,2
"494","ita",4,3,2,5,3,5,1,4,4,4,5,25,1,3,2,15,29,4,2,4,6,30,2,15,1
"495","uk",4,2,3,4,3,5,1,5,5,4,5,45,2,2,4,175,12,3,5,7,4,43,1,14,1
"496","ita",3,4,1,2,3,5,1,5,3,3,5,375,3,3,4,1,13,5,1,5,5,26,1,16,2
"497","ita",5,1,1,5,1,4,1,4,5,5,5,NA,2,5,3,2,24,3,5,6,5,31,1,17,2
"498","uk",2,2,1,4,3,3,1,5,5,2,3,375,3,3,3,1,19,4,1,5,9,31,1,18,2
"499","za",5,4,2,5,5,5,1,5,3,4,5,3,1,3,4,125,13,6,3,8,7,18,1,18,2
"500","za",5,3,1,4,2,3,1,4,4,4,5,375,4,5,4,1,24,6,4,7,11,30,2,17,1
"501","za",5,3,4,5,4,4,2,4,5,5,5,325,1,4,2,225,12,4,3,5,3,32,1,16,1
"502","uk",5,2,1,5,2,3,2,3,4,3,4,35,2,3,3,175,26,2,2,5,7,47,2,16,1
"503","ita",5,1,3,5,4,5,2,5,4,4,1,35,4,5,3,15,26,2,3,7,7,26,1,26,1
"504","za",3,1,3,5,1,5,2,4,5,1,2,NA,4,3,4,15,28,7,4,2,3,25,2,16,1
"505","uk",5,2,3,4,4,3,2,5,3,2,4,35,1,5,3,15,28,5,3,7,11,20,1,20,2
"506","za",5,3,3,4,5,3,1,5,4,4,5,NA,4,4,2,2,13,4,5,7,1,25,2,13,1
"507","ita",3,2,1,5,4,4,2,3,1,4,4,25,2,3,4,125,2,4,3,7,6,25,1,15,2
"508","uk",4,1,4,5,4,5,2,3,4,4,5,4,4,5,2,1,26,7,7,3,6,24,1,14,2
"509","uk",2,2,1,5,3,3,5,4,3,3,5,NA,3,4,3,15,3,4,3,6,4,26,2,15,2
"510","za",4,2,1,5,2,5,1,4,5,4,5,35,1,3,4,35,35,4,3,6,3,30,1,14,2
"511","ita",5,1,3,5,5,4,2,5,4,4,5,3,2,3,3,1,1,3,4,7,7,37,1,18,2
"512","uk",3,1,2,5,4,4,2,5,5,1,4,425,4,4,3,125,19,3,5,3,4,24,2,18,2
"513","uk",5,3,2,4,2,4,1,5,2,1,5,45,3,5,3,1,16,3,6,5,7,55,2,24,2
"514","ita",4,4,3,4,3,3,1,5,3,4,3,2,2,4,3,125,26,4,3,5,4,25,2,16,1
"515","uk",2,3,3,4,5,4,4,4,4,3,1,NA,3,2,4,1,26,5,4,2,6,25,2,21,2
"516","ita",5,2,4,4,3,5,1,3,3,5,5,NA,1,4,3,3,1,5,3,4,8,24,2,16,2
"517","uk",4,3,5,5,3,3,2,5,3,3,5,325,2,4,5,125,24,4,4,6,4,53,1,15,2
"518","uk",4,4,1,4,3,5,2,2,5,5,3,25,2,5,4,175,21,6,2,6,5,27,2,16,2
"519","za",4,1,4,5,3,5,1,3,3,3,5,125,3,4,4,1,19,4,3,5,4,27,1,20,2
"520","ita",3,1,3,5,5,4,3,3,5,1,4,3,3,5,4,1,21,1,3,4,1,37,1,20,2
"521","ita",4,2,4,5,5,5,1,4,3,3,5,2,1,4,3,1,29,1,1,6,3,54,2,13,1
"522","uk",4,3,1,5,4,4,1,5,3,4,5,3,3,4,4,2,21,2,2,7,11,23,2,15,1
"523","ita",3,3,4,5,4,2,1,4,2,3,4,NA,2,4,4,1,18,3,4,6,2,34,2,13,2
"524","ita",3,3,2,5,3,5,1,3,3,3,4,425,2,3,3,1,28,4,2,7,10,47,1,10,1
"525","uk",5,4,1,4,3,4,2,1,2,3,4,NA,1,4,3,2,12,3,2,2,7,46,1,19,1
"526","za",5,2,4,5,5,5,1,3,4,5,4,3,1,3,3,125,3,7,3,2,2,21,2,12,1
"527","ita",5,2,3,5,5,4,1,5,5,3,5,325,1,4,4,225,22,3,7,3,1,26,1,16,2
"528","ita",4,3,1,5,3,5,1,5,2,3,4,325,2,2,4,1,28,3,2,6,2,34,2,15,1
"529","za",4,3,2,5,4,4,4,5,4,3,5,1,1,3,4,225,22,2,5,7,2,28,2,16,1
"530","za",4,3,1,4,4,4,4,3,4,2,5,325,1,3,4,225,32,2,4,6,3,37,2,15,2
"531","uk",3,1,2,5,4,4,1,3,4,4,5,35,3,4,3,1,2,6,3,2,8,19,1,11,1
"532","uk",4,2,1,5,3,4,2,4,5,3,4,325,3,3,5,1,2,7,6,7,7,25,1,14,2
"533","uk",4,4,1,5,4,3,2,5,3,2,5,4,1,4,3,275,29,3,1,4,7,50,1,19,2
"534","ita",4,4,3,5,3,3,2,4,4,5,1,NA,2,4,4,15,3,3,4,7,3,34,3,15,2
"535","za",5,1,2,5,4,4,2,4,4,3,5,1,2,5,4,225,26,7,3,6,3,20,1,16,2
"536","uk",4,3,2,4,4,4,2,3,2,4,5,3,4,3,2,175,3,5,2,7,1,75,1,15,1
"537","ita",5,2,1,4,5,4,2,5,5,5,5,225,1,4,3,1,3,5,4,4,11,23,2,18,2
"538","uk",5,2,5,5,4,5,1,3,4,4,5,45,1,5,3,2,18,1,1,5,7,26,1,16,1
"539","uk",2,3,1,4,1,3,1,5,3,3,4,45,3,5,4,175,24,4,6,7,3,62,1,16,1
"540","za",4,2,2,4,3,4,2,4,4,5,4,35,2,4,3,225,25,4,2,5,2,41,2,17,1
"541","uk",4,2,2,5,5,3,2,4,5,3,5,1,3,1,4,1,15,1,5,5,8,46,1,17,2
"542","uk",4,3,2,4,1,5,1,4,3,3,5,1,3,3,5,15,22,5,2,5,4,25,2,18,1
"543","ita",4,1,4,5,1,5,1,5,3,4,5,NA,3,5,3,175,35,6,1,8,3,28,2,18,1
"544","za",5,2,1,4,4,5,1,5,3,3,5,3,4,1,4,2,32,4,6,3,3,24,1,24,2
"545","za",5,1,2,4,4,3,3,5,4,4,5,NA,3,2,4,125,26,4,5,5,1,32,2,20,2
"546","za",4,2,2,5,4,5,2,3,5,4,5,325,3,4,2,3,21,2,5,7,7,24,1,13,2
"547","uk",5,2,2,3,2,4,1,5,2,4,5,NA,1,3,2,175,29,3,1,3,6,43,1,18,2
"548","za",5,3,1,5,4,5,1,4,3,2,4,325,4,3,4,1,21,4,4,5,8,32,1,12,1
"549","ita",5,3,3,5,5,4,1,4,5,5,4,3,3,2,4,1,23,5,4,4,2,38,2,16,1
"550","uk",5,2,2,5,3,5,1,2,3,1,5,325,3,2,2,175,16,7,5,6,6,22,1,15,2
"551","uk",4,1,1,4,4,5,2,5,4,4,5,325,1,4,4,1,17,6,4,3,7,19,1,15,2
"552","za",5,1,3,2,1,4,3,3,3,2,3,1,2,5,3,1,22,4,2,5,4,26,1,16,1
"553","uk",5,1,1,5,5,5,1,4,4,3,5,35,2,3,2,125,3,4,3,8,9,22,1,19,2
"554","ita",4,3,1,5,4,3,2,4,5,2,5,NA,1,3,5,25,23,3,5,2,6,22,1,16,1
"555","uk",4,1,3,5,3,4,1,3,4,2,5,375,3,4,3,125,26,5,6,7,9,28,1,15,2
"556","ita",4,3,2,5,2,3,3,5,5,3,4,45,2,4,2,125,27,2,2,5,7,28,1,19,2
"557","ita",4,4,3,5,3,4,1,4,4,5,2,375,1,3,4,1,21,3,3,7,1,21,1,12,1
"558","za",5,3,1,4,1,3,1,3,3,2,5,375,1,5,4,25,26,5,5,6,9,49,2,16,2
"559","za",5,1,1,5,5,5,1,4,3,4,3,425,3,5,5,3,28,5,3,3,7,24,2,17,1
"560","ita",3,4,3,5,5,3,1,5,3,3,4,225,3,2,2,15,26,1,2,7,6,53,1,17,1
"561","ita",5,3,1,3,4,3,2,3,4,4,5,25,3,3,3,2,2,5,2,6,4,35,2,17,2
"562","ita",4,1,3,5,4,4,3,3,3,3,5,3,3,4,3,225,14,3,4,5,2,50,2,16,1
"563","za",3,2,3,5,2,3,1,4,4,3,5,NA,2,2,2,225,24,1,2,6,8,30,2,17,1
"564","za",4,3,3,5,1,5,2,3,4,3,4,45,3,1,4,15,3,1,5,7,6,36,2,18,2
"565","uk",4,1,2,4,4,4,2,5,4,4,5,35,2,5,3,1,29,2,3,4,6,30,2,21,1
"566","uk",3,3,3,3,4,5,3,3,5,3,4,275,1,2,4,175,24,3,5,7,6,49,1,15,1
"567","za",5,2,1,5,5,3,1,3,5,3,4,375,3,4,3,1,2,4,1,8,6,33,2,18,2
"568","uk",3,2,2,5,2,5,3,4,2,4,5,425,2,3,2,275,25,3,5,6,6,31,2,22,2
"569","uk",4,1,1,4,4,3,1,4,5,5,3,35,3,4,3,275,26,5,2,6,3,29,2,17,1
"570","ita",5,3,2,5,4,1,2,3,3,5,5,225,2,3,3,1,2,6,4,6,8,23,2,15,2
"571","uk",3,2,2,1,5,5,2,4,4,3,5,25,3,4,2,1,35,7,5,4,7,30,1,10,2
"572","uk",5,1,3,5,1,5,2,3,4,1,4,225,5,5,3,125,4,6,5,7,3,22,2,19,2
"573","za",4,4,3,4,4,3,1,4,3,3,5,325,1,3,4,1,11,6,4,7,8,21,1,16,1
"574","ita",5,2,1,5,4,5,2,5,5,4,5,1,1,3,3,25,24,3,4,6,7,27,3,17,2
"575","za",4,3,2,4,4,4,2,3,5,2,1,1,3,3,3,1,22,4,4,7,6,29,1,18,1
"576","uk",4,3,1,5,5,5,5,5,5,5,5,NA,1,4,4,125,31,4,5,6,4,46,1,18,1
"577","za",3,3,1,5,3,5,3,4,4,4,5,3,2,4,4,1,14,3,1,6,4,22,2,18,2
"578","ita",5,3,3,5,5,4,3,3,2,2,5,3,1,4,3,25,22,2,3,6,7,22,1,18,1
"579","ita",4,2,1,5,5,4,2,4,3,2,3,35,3,5,5,1,26,5,2,7,8,25,2,17,1
"580","uk",4,3,1,5,1,5,2,4,3,3,3,NA,2,2,3,2,28,4,4,4,1,36,1,10,1
"581","za",4,1,2,4,3,2,3,5,5,3,3,325,2,5,3,1,35,5,4,4,6,23,1,16,1
"582","ita",4,2,1,5,1,5,2,3,5,4,4,275,1,5,3,375,22,4,1,4,3,44,2,13,2
"583","uk",5,2,2,5,5,4,3,4,5,3,5,3,3,4,2,1,17,6,6,5,3,59,2,21,2
"584","za",5,1,2,5,2,4,2,3,5,3,5,225,2,4,4,175,12,2,2,6,4,32,2,20,1
"585","ita",4,3,1,3,5,5,1,5,2,2,4,275,4,3,3,25,23,2,1,5,4,24,1,14,2
"586","ita",4,1,2,5,5,4,3,3,3,3,5,NA,1,4,3,225,16,1,3,6,4,24,2,20,1
"587","uk",5,3,2,1,4,4,2,4,4,4,4,475,1,4,3,125,28,4,4,3,6,27,2,17,2
"588","uk",5,1,3,5,3,4,4,5,4,4,4,3,3,4,4,175,17,7,5,5,4,53,2,15,1
"589","uk",5,2,3,4,3,4,1,4,4,4,3,1,4,3,4,125,28,7,2,5,6,31,2,17,2
"590","uk",4,1,2,5,1,4,1,4,3,5,4,375,3,3,3,1,26,3,3,6,3,30,2,18,1
"591","uk",3,1,2,3,4,5,2,5,2,3,1,275,3,2,3,25,28,2,3,8,3,24,1,18,1
"592","za",5,2,2,4,2,4,2,5,4,2,4,3,2,4,3,275,26,5,4,5,2,45,3,18,2
"593","ita",4,3,2,5,1,3,2,2,4,4,4,425,3,4,4,2,21,4,4,3,5,51,2,16,1
"594","uk",4,1,3,3,4,5,3,4,5,4,3,325,1,5,1,1,24,1,2,5,7,34,2,16,1
"595","uk",3,3,2,5,4,5,1,5,3,2,5,4,2,5,3,125,28,2,3,4,6,30,2,18,2
"596","za",5,2,3,5,3,3,2,3,2,3,5,4,4,4,5,15,3,6,4,5,7,26,1,14,1
"597","ita",4,1,1,5,4,5,3,5,5,3,3,3,4,4,3,15,21,3,5,7,7,22,2,17,1
"598","ita",5,3,1,5,2,4,3,5,2,3,3,NA,3,4,4,1,14,7,1,6,6,55,1,21,2
"599","za",4,1,1,5,2,3,1,5,3,1,5,15,3,5,2,3,17,7,2,4,11,63,2,14,2
"600","ita",5,2,4,5,3,4,3,4,3,4,5,45,1,4,3,225,24,3,4,6,7,28,1,18,1
"601","uk",4,1,3,5,5,3,1,5,1,3,5,25,3,2,2,125,17,1,3,6,6,22,2,16,2
"602","za",5,1,4,5,3,3,1,4,4,3,4,35,3,2,3,225,2,7,2,5,6,26,1,15,1
"603","ita",5,3,2,5,5,5,2,4,5,2,5,3,3,4,3,15,16,6,2,8,3,42,2,24,1
"604","za",3,3,3,2,5,4,1,5,3,4,3,3,2,4,3,225,2,5,7,6,4,35,1,12,2
"605","uk",4,1,4,5,3,4,1,5,5,4,2,35,1,5,3,3,13,5,1,3,6,26,1,4,1
"606","za",4,2,1,5,2,5,4,5,4,5,3,425,3,4,4,2,24,7,2,2,6,22,2,15,2
"607","ita",5,2,4,5,4,5,1,4,4,4,5,1,3,5,4,275,24,3,3,2,8,28,2,17,2
"608","za",4,3,2,4,4,2,1,3,4,2,5,25,1,5,3,175,18,5,2,5,2,76,2,15,2
"609","za",4,2,1,5,4,5,2,4,4,3,1,NA,1,4,4,125,24,5,2,6,4,25,1,12,1
"610","uk",3,3,1,3,4,4,1,5,5,5,5,425,3,4,4,2,34,4,7,5,6,51,1,16,1
"611","uk",5,2,1,5,4,5,4,4,4,3,2,25,1,3,3,1,22,2,1,7,4,22,1,22,2
"612","uk",5,2,2,4,1,5,1,5,3,4,3,2,3,4,3,1,32,7,4,7,1,33,1,12,1
"613","za",4,1,1,4,2,3,1,5,4,5,5,2,3,3,3,1,26,3,1,5,3,23,1,12,2
"614","za",4,2,1,5,3,3,1,3,4,4,5,325,3,4,2,15,25,2,1,8,6,36,2,14,2
"615","ita",5,4,1,5,2,5,3,5,4,5,5,375,3,2,3,175,24,4,2,8,6,21,2,15,1
"616","uk",4,2,1,5,5,4,2,3,4,5,5,325,3,3,3,1,29,3,4,6,1,20,2,20,1
"617","ita",4,2,3,5,3,5,2,5,5,4,5,2,3,5,4,125,2,5,3,2,3,37,1,18,1
"618","za",5,1,1,5,3,4,3,4,3,3,5,325,1,4,2,175,28,2,2,5,3,43,2,18,2
"619","ita",5,1,2,5,4,5,3,3,4,5,5,45,4,5,4,225,31,7,1,5,8,42,1,25,1
"620","ita",4,1,2,4,2,5,5,4,4,4,5,1,2,3,3,175,27,6,2,6,2,36,2,18,2
"621","za",5,3,1,4,5,5,3,5,3,2,5,275,3,2,4,325,19,7,4,5,4,28,2,20,1
"622","za",4,2,1,5,1,5,1,4,3,5,4,35,4,3,5,15,25,3,2,4,3,41,2,17,1
"623","za",4,5,1,4,2,4,2,4,3,5,3,425,4,4,3,2,23,4,1,5,6,26,1,18,1
"624","ita",5,3,2,5,5,5,2,4,5,4,5,275,4,5,4,15,24,7,1,5,6,24,2,20,2
"625","ita",5,3,1,2,3,4,1,5,1,5,5,4,4,5,3,375,24,5,2,3,4,40,2,18,1
"626","za",5,3,3,4,4,4,2,5,1,3,5,NA,3,5,3,25,36,2,3,7,7,26,1,16,1
"627","uk",4,2,2,5,4,5,1,5,4,3,5,NA,3,3,4,1,29,7,7,6,8,23,1,15,1
"628","ita",5,2,2,3,4,5,2,5,5,2,5,NA,4,5,4,2,19,6,4,6,4,31,2,22,1
"629","uk",3,3,1,5,4,3,1,4,4,4,5,4,2,4,3,175,13,2,2,5,6,35,2,18,2
"630","uk",5,1,1,4,4,4,1,3,3,3,5,NA,2,4,3,125,16,5,3,5,3,32,2,18,2
"631","uk",4,2,2,3,3,5,1,4,4,1,3,325,2,4,2,1,17,2,3,5,1,21,2,15,1
"632","za",3,3,3,5,2,4,2,3,4,2,1,NA,2,4,4,1,21,2,3,4,10,24,2,16,2
"633","za",4,1,1,5,5,5,2,5,4,5,3,5,2,3,2,15,26,5,3,7,4,42,1,13,2
"634","uk",5,2,4,5,5,5,2,1,4,3,5,1,1,1,4,1,21,3,4,5,2,22,1,16,1
"635","ita",5,3,3,4,3,1,1,5,2,4,5,1,3,3,4,15,3,2,3,4,6,45,1,12,1
"636","za",4,4,2,5,5,4,3,4,4,3,4,3,3,1,3,125,25,4,7,6,1,29,3,17,2
"637","uk",5,3,2,4,2,4,3,5,4,4,5,275,1,3,1,1,22,6,3,5,9,38,2,18,2
"638","ita",5,2,3,4,4,4,2,4,5,3,2,2,3,5,4,275,26,4,4,6,2,28,2,18,1
"639","uk",4,3,1,4,5,3,2,4,3,2,4,25,1,3,4,175,21,5,2,7,8,21,1,13,2
"640","uk",3,1,2,5,4,4,3,4,5,5,5,35,2,5,3,225,2,5,3,5,5,23,1,18,1
"641","za",4,3,2,5,5,5,3,4,4,4,4,4,2,3,4,1,2,3,3,2,4,35,1,15,1
"642","za",5,3,2,5,4,5,3,5,4,3,1,1,3,4,4,225,16,3,5,5,6,20,1,17,1
"643","za",3,2,3,4,1,4,2,4,5,2,4,NA,4,4,4,15,27,7,1,5,2,34,1,17,1
"644","uk",4,3,2,5,4,5,3,4,5,2,1,275,3,2,4,15,14,2,3,3,6,22,2,22,2
"645","za",4,2,2,5,3,5,3,5,5,3,5,3,3,4,3,15,2,2,4,5,5,31,1,18,2
"646","ita",4,2,2,5,2,1,2,4,4,4,1,325,3,3,4,125,24,7,4,7,1,27,1,18,2
"647","ita",4,1,1,5,4,4,1,4,4,3,3,35,2,4,4,15,26,1,4,8,5,33,2,14,1
"648","ita",5,5,2,5,4,5,1,5,3,5,3,325,4,3,3,275,19,2,1,7,3,42,1,14,2
"649","za",5,2,2,5,1,4,1,3,3,5,4,325,3,5,2,175,26,6,5,6,6,36,1,16,1
"650","za",3,1,2,5,3,4,3,4,4,3,5,325,3,1,4,2,14,1,1,7,6,40,1,18,2
"651","za",4,4,2,4,2,5,1,4,2,5,5,2,3,4,4,175,22,1,4,6,7,22,2,13,2
"652","za",4,2,1,5,5,3,2,5,3,4,5,NA,4,5,3,225,36,7,5,3,6,38,2,16,2
"653","ita",4,3,3,4,4,5,2,5,4,4,5,NA,2,4,2,175,27,5,2,7,2,22,1,23,2
"654","za",4,2,3,5,4,5,1,5,3,5,5,325,1,3,5,175,26,4,4,3,1,41,2,21,2
"655","za",4,3,3,4,4,5,3,2,4,3,3,NA,3,4,3,125,22,3,4,5,1,45,2,10,1
"656","za",4,1,3,5,5,5,1,4,3,4,4,325,4,4,4,15,2,1,1,7,1,35,1,11,1
"657","za",5,4,1,5,4,4,2,5,3,5,4,NA,4,4,4,2,35,5,3,5,6,20,1,15,1
"658","za",4,4,2,5,3,3,2,4,4,5,5,NA,1,5,3,1,14,1,6,4,7,23,1,16,1
"659","ita",4,3,1,4,3,3,1,4,3,4,4,275,2,4,2,2,21,3,2,6,7,25,1,15,1
"660","ita",4,2,2,5,3,5,2,4,3,2,5,325,3,3,5,2,21,4,2,5,4,44,1,15,2
"661","za",4,4,2,5,4,5,2,3,4,3,3,1,2,4,3,1,23,4,3,5,6,19,1,15,1
"662","uk",2,3,3,4,2,4,1,4,5,5,5,3,2,5,4,1,3,3,5,5,3,36,1,16,1
"663","ita",4,1,2,3,1,3,1,4,1,4,5,25,2,3,1,35,23,7,4,7,8,32,2,16,2
"664","za",5,3,3,5,3,5,3,3,4,2,5,25,2,4,3,225,31,3,4,3,2,19,1,20,1
"665","za",4,3,3,5,5,5,1,5,2,4,4,NA,1,4,4,25,26,5,4,4,4,19,1,18,1
"666","uk",3,2,2,5,3,4,1,3,4,3,5,325,2,4,3,15,29,6,2,6,6,59,1,14,2
"667","za",4,2,2,5,2,4,2,4,4,4,3,3,1,5,2,15,16,1,3,5,9,34,2,18,1
"668","ita",3,3,2,5,4,5,3,4,3,1,5,5,5,5,3,1,13,5,4,6,6,54,1,16,1
"669","uk",4,1,2,5,3,4,2,1,4,5,5,25,2,5,4,125,19,6,7,6,6,26,1,14,1
"670","uk",4,2,1,4,3,3,1,5,4,1,3,325,3,4,4,2,25,2,3,6,6,46,2,14,2
"671","uk",4,3,2,4,4,5,2,2,3,3,3,4,2,2,3,225,29,5,3,6,4,24,2,16,1
"672","ita",5,3,2,5,5,4,1,4,4,3,4,275,1,2,4,125,18,3,3,8,9,51,1,17,1
"673","uk",4,4,2,5,2,2,2,4,4,5,5,175,3,5,3,1,35,3,2,5,4,22,1,25,2
"674","za",5,3,1,5,1,4,1,4,5,5,4,3,3,4,3,225,28,6,5,4,8,47,2,16,1
"675","za",4,4,2,5,3,4,1,5,3,5,3,1,1,3,3,2,22,4,4,6,2,30,1,16,2
"676","ita",3,1,2,4,2,5,2,5,3,2,4,NA,4,3,5,2,13,4,3,6,1,38,2,19,1
"677","ita",5,2,1,4,5,4,2,4,4,5,5,325,3,5,4,2,28,4,3,6,9,20,1,13,2
"678","ita",5,2,4,5,2,3,2,5,4,1,4,3,2,5,4,125,28,3,3,5,3,24,1,20,2
"679","uk",5,4,2,5,2,4,3,4,4,5,5,275,3,1,3,125,22,5,1,5,1,25,1,21,1
"680","uk",4,1,2,5,2,5,1,4,4,2,3,35,3,4,3,2,3,7,3,6,6,57,2,18,1
"681","uk",1,3,2,5,4,4,2,5,4,5,4,5,4,3,3,1,14,3,2,6,7,33,1,18,1
"682","uk",4,3,2,4,3,5,4,4,3,4,5,3,3,4,4,175,35,7,6,5,7,44,2,17,1
"683","za",4,1,2,3,3,4,2,4,5,5,4,3,2,5,4,2,32,3,3,6,5,25,2,10,1
"684","uk",4,3,1,5,1,2,2,5,3,3,3,35,1,3,4,175,27,4,2,5,4,53,1,18,2
"685","uk",4,1,1,5,2,5,4,4,4,5,5,3,2,4,3,1,3,6,5,7,7,55,1,15,2
"686","za",5,3,2,5,2,3,3,5,4,4,5,3,3,4,3,15,34,7,2,3,4,41,2,14,2
"687","uk",5,3,5,5,4,5,1,4,4,2,5,1,3,4,3,1,12,5,2,6,4,28,1,18,2
"688","za",4,3,2,5,3,5,2,4,1,5,3,375,4,4,3,175,18,3,7,6,6,30,2,11,2
"689","za",4,1,1,5,5,5,1,5,4,3,5,35,2,4,4,1,24,1,4,7,4,39,2,18,1
"690","za",3,3,2,5,3,5,3,5,4,5,4,NA,1,2,4,2,35,2,2,5,6,21,2,17,2
"691","za",4,4,2,5,3,5,1,3,4,3,4,NA,1,3,3,15,24,5,1,7,2,24,2,17,1
"692","uk",4,2,2,5,5,5,3,1,5,3,5,1,2,4,3,175,17,2,3,4,6,33,1,18,2
"693","ita",5,2,2,5,3,4,5,3,4,3,3,15,2,3,3,1,2,4,2,6,1,75,1,15,1
"694","za",3,4,1,5,1,4,1,3,3,3,5,2,4,3,3,25,27,5,3,4,1,22,1,11,1
"695","uk",4,3,3,5,3,4,2,4,3,4,4,NA,1,5,3,125,24,3,3,7,7,28,2,17,1
"696","za",5,2,1,5,2,4,1,5,3,3,5,325,3,3,4,225,25,6,2,6,2,42,1,14,2
"697","uk",4,2,2,5,1,5,2,3,3,1,5,1,3,5,3,35,16,1,3,7,2,42,1,11,2
"698","ita",4,3,1,5,3,5,2,4,3,3,5,1,1,4,2,2,13,6,2,6,6,25,2,17,1
"699","uk",3,1,1,4,5,5,2,3,3,3,4,3,2,5,3,1,3,5,7,7,3,33,2,19,1
"700","ita",5,2,2,5,1,5,2,3,4,4,4,25,2,4,3,175,27,3,2,4,1,20,2,15,1
"701","uk",5,2,2,5,4,3,2,4,3,3,5,325,3,2,1,15,27,5,2,5,5,39,2,17,2
"702","uk",5,3,2,5,2,5,2,4,1,2,5,NA,2,3,3,35,17,3,4,5,5,25,2,16,2
"703","za",4,3,3,4,3,5,2,4,4,3,4,325,2,5,4,1,31,3,5,5,2,29,1,15,2
"704","za",5,3,1,5,3,4,2,3,5,4,5,325,1,3,2,275,18,6,4,8,6,43,2,17,2
"705","za",4,4,1,5,2,5,1,3,4,3,4,35,2,4,2,2,24,4,3,5,4,53,1,15,2
"706","uk",4,3,2,5,4,5,1,5,4,3,5,325,3,3,4,15,25,3,1,4,2,46,1,18,1
"707","ita",5,2,2,5,1,3,3,3,3,2,3,3,2,5,1,225,14,5,3,6,9,36,1,17,2
"708","uk",5,5,1,4,4,4,1,3,4,3,3,2,3,4,4,125,19,4,6,7,4,29,2,17,2
"709","ita",4,3,1,5,3,5,2,4,4,4,4,125,2,4,4,15,27,4,5,3,7,25,1,17,2
"710","uk",4,3,1,4,4,3,1,5,4,1,5,125,2,5,5,2,19,6,3,6,7,24,1,21,2
"711","uk",4,2,2,5,4,5,1,5,5,3,2,3,1,4,4,175,23,5,5,6,6,38,1,12,2
"712","ita",4,1,2,5,4,4,1,3,3,2,4,325,2,3,2,275,19,5,6,5,6,37,1,16,1
"713","ita",5,2,2,5,5,5,3,3,4,4,5,35,4,4,4,15,26,3,3,8,8,42,1,16,1
"714","ita",5,1,1,4,3,3,2,1,4,5,4,3,3,4,4,125,31,3,5,5,5,23,2,18,1
"715","za",4,2,4,5,5,4,1,5,3,5,5,425,3,4,3,125,18,3,6,7,6,30,2,15,1
"716","za",5,3,2,5,3,5,1,4,4,5,5,NA,3,2,3,275,23,2,5,4,5,22,1,19,1
"717","uk",5,3,3,4,3,5,2,3,5,2,3,325,4,5,2,275,24,3,6,3,7,20,2,19,1
"718","ita",5,5,1,1,3,4,3,5,3,3,4,325,3,2,1,125,19,4,3,5,3,40,2,14,2
"719","ita",5,1,2,5,3,5,2,3,2,2,5,2,1,1,4,15,31,2,3,5,4,27,1,11,1
"720","uk",5,2,1,5,4,5,2,3,4,4,2,25,1,4,5,175,18,4,3,7,9,30,2,3,1
"721","uk",3,4,1,2,4,3,1,2,5,2,5,35,1,5,3,1,16,4,2,5,6,20,2,3,1
"722","uk",5,2,2,5,4,5,2,3,2,1,5,4,3,4,4,2,26,5,2,6,4,38,2,18,1
"723","za",4,2,1,5,5,5,2,5,2,3,5,3,5,4,3,225,18,6,5,8,6,26,2,17,1
"724","ita",4,3,2,5,2,4,4,3,1,3,3,325,2,3,5,15,18,4,2,7,6,31,2,15,1
"725","uk",4,1,2,5,4,4,3,4,4,1,3,4,4,3,2,175,21,2,4,7,8,34,1,17,1
"726","ita",5,3,1,5,5,1,4,5,3,5,5,275,3,3,3,1,19,2,1,7,2,23,2,25,1
"727","uk",3,3,2,5,5,5,4,5,4,3,5,1,4,4,4,225,25,2,4,4,4,37,1,10,1
"728","uk",5,2,3,5,1,4,2,4,3,5,5,325,2,2,3,1,29,6,4,5,1,44,2,13,1
"729","ita",4,2,1,5,1,3,4,5,3,5,5,4,2,3,2,225,36,4,2,7,4,33,2,18,2
"730","za",4,1,1,4,4,5,2,5,4,3,5,4,4,3,4,1,13,2,2,6,4,24,2,16,1
"731","ita",3,2,3,3,2,5,3,5,4,4,5,35,2,5,4,1,2,1,5,6,7,39,1,15,2
"732","za",4,2,2,5,4,5,1,5,5,3,2,225,3,5,1,175,19,4,4,8,6,23,2,15,2
"733","uk",5,3,2,5,1,5,1,4,4,3,2,275,1,3,3,225,21,3,6,7,8,28,1,17,2
"734","ita",4,1,2,5,1,5,1,4,4,1,4,325,4,3,4,175,3,7,2,8,9,21,2,12,2
"735","uk",5,1,1,5,4,4,1,3,3,4,5,1,3,3,2,175,12,7,2,5,2,48,2,17,2
"736","za",4,1,1,5,4,4,5,5,2,2,5,35,4,4,4,3,39,2,1,7,6,29,2,12,2
